 ,Label,Area,Mean,Min,Max,Perim.,IntDen,RawIntDen
118,22946173.tif,433,255,255,255,80.669,110415,110415
119,22946173.tif,268,255,255,255,61.355,68340,68340
120,22946173.tif,321,255,255,255,65.598,81855,81855
121,22946173.tif,361,255,255,255,70.912,92055,92055
122,22946173.tif,347,255,255,255,68.426,88485,88485
123,22946173.tif,250,255,255,255,57.113,63750,63750
124,22946173.tif,291,255,255,255,64.184,74205,74205
125,22946173.tif,478,255,255,255,80.083,121890,121890
126,22946173.tif,296,255,255,255,64.527,75480,75480
127,22946173.tif,278,255,255,255,61.941,70890,70890
128,22946173.tif,236,255,255,255,57.698,60180,60180
129,22946173.tif,259,255,255,255,59.941,66045,66045
130,22946173.tif,294,255,255,255,64.184,74970,74970
131,22946173.tif,290,255,255,255,63.941,73950,73950
132,22946173.tif,436,255,255,255,75.841,111180,111180
133,22946173.tif,318,255,255,255,66.77,81090,81090
134,22946173.tif,320,255,255,255,64.77,81600,81600
135,22946173.tif,371,255,255,255,76.77,94605,94605
136,22946173.tif,333,255,255,255,69.012,84915,84915
137,22946173.tif,252,255,255,255,59.113,64260,64260
138,22946173.tif,300,255,255,255,63.012,76500,76500
139,22946173.tif,326,255,255,255,65.941,83130,83130
140,22946173.tif,396,255,255,255,73.598,100980,100980
141,22946173.tif,285,255,255,255,61.941,72675,72675
142,22946173.tif,317,255,255,255,65.355,80835,80835
143,22946173.tif,271,255,255,255,60.284,69105,69105
144,22946173.tif,411,255,255,255,76.426,104805,104805
145,22946173.tif,492,255,255,255,82.669,125460,125460
146,22946173.tif,395,255,255,255,73.255,100725,100725
147,22946173.tif,329,255,255,255,67.255,83895,83895
148,22946173.tif,330,255,255,255,65.941,84150,84150
149,22946173.tif,402,255,255,255,74.083,102510,102510
150,22946173.tif,445,255,255,255,78.426,113475,113475
151,22946173.tif,356,255,255,255,68.77,90780,90780
152,22946173.tif,244,255,255,255,56.77,62220,62220
153,22946173.tif,349,255,255,255,71.012,88995,88995
154,22946173.tif,196,255,255,255,52.284,49980,49980
155,22946173.tif,353,255,255,255,68.77,90015,90015
156,22946173.tif,261,255,255,255,59.941,66555,66555
157,22946173.tif,337,255,255,255,67.598,85935,85935
158,22946173.tif,238,255,255,255,59.698,60690,60690
159,22946173.tif,301,255,255,255,65.113,76755,76755
160,22946173.tif,288,255,255,255,62.184,73440,73440
161,22946173.tif,325,255,255,255,70.426,82875,82875
162,22946173.tif,316,255,255,255,70.527,80580,80580
163,22946173.tif,325,255,255,255,66.426,82875,82875
164,22946173.tif,288,255,255,255,62.87,73440,73440
165,22946173.tif,323,255,255,255,65.355,82365,82365
166,22946173.tif,490,255,255,255,81.255,124950,124950
167,22946173.tif,201,255,255,255,56.184,51255,51255
168,22946173.tif,178,255,255,255,54.284,45390,45390
169,22946173.tif,269,255,255,255,61.941,68595,68595
170,22946173.tif,244,255,255,255,62.284,62220,62220
171,22946173.tif,406,255,255,255,76.669,103530,103530
172,22946173.tif,292,255,255,255,64.284,74460,74460
173,22946173.tif,238,255,255,255,58.184,60690,60690
174,22946173.tif,329,255,255,255,67.598,83895,83895
175,22946173.tif,377,255,255,255,70.426,96135,96135
176,22946173.tif,168,255,255,255,47.698,42840,42840
177,22946173.tif,304,255,255,255,66.527,77520,77520
178,22946173.tif,269,255,255,255,61.698,68595,68595
179,22946173.tif,313,255,255,255,65.113,79815,79815
180,22946173.tif,301,255,255,255,63.598,76755,76755
181,22946173.tif,376,255,255,255,72.77,95880,95880
182,22946173.tif,249,255,255,255,57.113,63495,63495
183,22946173.tif,283,255,255,255,64.77,72165,72165
184,22946173.tif,252,255,255,255,62.184,64260,64260
185,22946173.tif,304,255,255,255,66.527,77520,77520
186,22946173.tif,382,255,255,255,71.012,97410,97410
187,22946173.tif,396,255,255,255,72.77,100980,100980
188,22946173.tif,350,255,255,255,69.012,89250,89250
189,22946173.tif,269,255,255,255,61.113,68595,68595
190,22946173.tif,378,255,255,255,73.355,96390,96390
191,22946173.tif,388,255,255,255,72.77,98940,98940
192,22946173.tif,322,255,255,255,66.184,82110,82110
193,22946173.tif,486,255,255,255,83.012,123930,123930
194,22946173.tif,436,255,255,255,77.841,111180,111180
195,22946173.tif,427,255,255,255,78.083,108885,108885
196,22946173.tif,476,255,255,255,86.912,121380,121380
197,22946173.tif,314,255,255,255,65.355,80070,80070
198,22946173.tif,327,255,255,255,68.184,83385,83385
199,22946173.tif,366,255,255,255,71.355,93330,93330
200,22946173.tif,326,255,255,255,66.527,83130,83130
201,22946173.tif,345,255,255,255,68.184,87975,87975
202,22946173.tif,472,255,255,255,81.598,120360,120360
203,22946173.tif,282,255,255,255,62.77,71910,71910
204,22946173.tif,376,255,255,255,71.012,95880,95880
205,22946173.tif,243,255,255,255,59.598,61965,61965
206,22946173.tif,291,255,255,255,62.77,74205,74205
207,22946173.tif,392,255,255,255,72.669,99960,99960
208,22946173.tif,329,255,255,255,66.77,83895,83895
209,22946173.tif,256,255,255,255,64.627,65280,65280
210,22946173.tif,222,255,255,255,53.941,56610,56610
211,22946173.tif,251,255,255,255,58.527,64005,64005
212,22946173.tif,242,255,255,255,57.941,61710,61710
213,22946173.tif,372,255,255,255,70.77,94860,94860
214,22946173.tif,340,255,255,255,66.77,86700,86700
215,22946173.tif,305,255,255,255,66.426,77775,77775
216,22946173.tif,365,255,255,255,69.355,93075,93075
217,22946173.tif,265,255,255,255,65.012,67575,67575
218,22946173.tif,247,255,255,255,60.184,62985,62985
219,22946173.tif,394,255,255,255,73.598,100470,100470
220,22946173.tif,318,255,255,255,65.355,81090,81090
221,22946173.tif,391,255,255,255,72.527,99705,99705
222,22946173.tif,232,255,255,255,63.113,59160,59160
223,22946173.tif,239,255,255,255,58.527,60945,60945
224,22946173.tif,287,255,255,255,64.87,73185,73185
225,22946173.tif,439,255,255,255,76.669,111945,111945
226,22946173.tif,277,255,255,255,61.941,70635,70635
227,22946173.tif,406,255,255,255,77.841,103530,103530
228,22946173.tif,355,255,255,255,69.598,90525,90525
229,22946173.tif,342,255,255,255,67.598,87210,87210
230,22946173.tif,221,255,255,255,56.87,56355,56355
231,22946173.tif,341,255,255,255,71.012,86955,86955
232,22946173.tif,374,255,255,255,72.184,95370,95370
233,22946173.tif,337,255,255,255,67.355,85935,85935
234,22946173.tif,282,255,255,255,64.184,71910,71910
235,22946173.tif,334,255,255,255,68.184,85170,85170
236,22946173.tif,181,255,255,255,55.698,46155,46155
237,22946173.tif,162,255,255,255,46.284,41310,41310
238,22946173.tif,192,255,255,255,51.213,48960,48960
239,22946173.tif,447,255,255,255,78.426,113985,113985
240,22946173.tif,185,255,255,255,50.284,47175,47175
241,22946173.tif,380,255,255,255,74.426,96900,96900
242,22946173.tif,274,255,255,255,60.77,69870,69870
243,22946173.tif,195,255,255,255,52.527,49725,49725
244,22946173.tif,232,255,255,255,59.113,59160,59160
245,22946173.tif,371,255,255,255,72.184,94605,94605
246,22946173.tif,250,255,255,255,57.941,63750,63750
247,22946173.tif,358,255,255,255,72.669,91290,91290
248,22946173.tif,376,255,255,255,70.426,95880,95880
249,22946173.tif,327,255,255,255,70.426,83385,83385
250,22946173.tif,409,255,255,255,78.426,104295,104295
251,22946173.tif,257,255,255,255,59.941,65535,65535
252,22946173.tif,488,255,255,255,83.255,124440,124440
253,22946173.tif,256,255,255,255,59.113,65280,65280
254,22946173.tif,350,255,255,255,67.598,89250,89250
255,22946173.tif,414,255,255,255,75.841,105570,105570
256,22946173.tif,257,255,255,255,58.284,65535,65535
257,22946173.tif,474,255,255,255,84.527,120870,120870
258,22946173.tif,199,255,255,255,53.113,50745,50745
259,22946173.tif,211,255,255,255,55.941,53805,53805
260,22946173.tif,242,255,255,255,56.87,61710,61710
261,22946173.tif,375,255,255,255,71.255,95625,95625
262,22946173.tif,476,255,255,255,81.497,121380,121380
263,22946173.tif,257,255,255,255,62.042,65535,65535
264,22946173.tif,404,255,255,255,75.74,103020,103020
265,22946173.tif,403,255,255,255,73.598,102765,102765
266,22946173.tif,438,255,255,255,82.77,111690,111690
267,22946173.tif,216,255,255,255,54.527,55080,55080
268,22946173.tif,475,255,255,255,82.083,121125,121125
269,22946173.tif,320,255,255,255,65.841,81600,81600
270,22946173.tif,359,255,255,255,70.426,91545,91545
271,22946173.tif,490,255,255,255,82.669,124950,124950
272,22946173.tif,349,255,255,255,70.87,88995,88995
273,22946173.tif,322,255,255,255,68.426,82110,82110
274,22946173.tif,226,255,255,255,57.841,57630,57630
275,22946173.tif,242,255,255,255,59.355,61710,61710
276,22946173.tif,347,255,255,255,72.184,88485,88485
277,22946173.tif,413,255,255,255,74.426,105315,105315
278,22946173.tif,441,255,255,255,85.397,112455,112455
279,22946173.tif,305,255,255,255,63.355,77775,77775
280,22946173.tif,384,255,255,255,75.012,97920,97920
281,22946173.tif,200,255,255,255,53.113,51000,51000
282,22946173.tif,246,255,255,255,58.284,62730,62730
283,22946173.tif,301,255,255,255,63.113,76755,76755
284,22946173.tif,298,255,255,255,63.355,75990,75990
285,22946173.tif,352,255,255,255,71.012,89760,89760
286,22946173.tif,415,255,255,255,74.184,105825,105825
287,22946173.tif,341,255,255,255,67.941,86955,86955
288,22946173.tif,385,255,255,255,72.184,98175,98175
289,22946173.tif,263,255,255,255,60.284,67065,67065
290,22946173.tif,242,255,255,255,57.941,61710,61710
291,22946173.tif,335,255,255,255,67.598,85425,85425
292,22946173.tif,337,255,255,255,66.527,85935,85935
293,22946173.tif,396,255,255,255,73.941,100980,100980
294,22946173.tif,285,255,255,255,64.284,72675,72675
295,22946173.tif,257,255,255,255,60.87,65535,65535
296,22946173.tif,278,255,255,255,61.941,70890,70890
297,22946173.tif,302,255,255,255,64.184,77010,77010
298,22946173.tif,376,255,255,255,71.841,95880,95880
299,22946173.tif,377,255,255,255,71.012,96135,96135
300,22946173.tif,262,255,255,255,61.355,66810,66810
301,22946173.tif,387,255,255,255,72.426,98685,98685
302,22946173.tif,356,255,255,255,70.426,90780,90780
303,22946173.tif,406,255,255,255,73.255,103530,103530
304,22946173.tif,406,255,255,255,77.255,103530,103530
305,22946173.tif,187,255,255,255,50.87,47685,47685
306,22946173.tif,299,255,255,255,63.941,76245,76245
307,22946173.tif,213,255,255,255,54.87,54315,54315
308,22946173.tif,395,255,255,255,72.912,100725,100725
309,22946173.tif,252,255,255,255,59.113,64260,64260
310,22946173.tif,312,255,255,255,64.527,79560,79560
311,22946173.tif,233,255,255,255,55.941,59415,59415
312,22946173.tif,267,255,255,255,61.598,68085,68085
313,22946173.tif,340,255,255,255,68.184,86700,86700
314,22946173.tif,349,255,255,255,68.426,88995,88995
315,22946173.tif,340,255,255,255,67.355,86700,86700
316,22946173.tif,359,255,255,255,72.184,91545,91545
317,22946173.tif,238,255,255,255,56.527,60690,60690
318,22946173.tif,295,255,255,255,64.184,75225,75225
319,22946173.tif,432,255,255,255,82.426,110160,110160
320,22946173.tif,383,255,255,255,71.841,97665,97665
321,22946173.tif,365,255,255,255,69.841,93075,93075
322,22946173.tif,175,255,255,255,48.042,44625,44625
323,22946173.tif,319,255,255,255,65.598,81345,81345
324,22946173.tif,185,255,255,255,51.113,47175,47175
325,22946173.tif,388,255,255,255,74.184,98940,98940
326,22946173.tif,201,255,255,255,54.284,51255,51255
